,Inflation,Key_rate,Brent_price,USD_RUB
0,9.52,21.0,69.7,103.27
1,8.88,21.0,69.54,100.59
2,8.54,21.0,71.56,96.19
3,8.63,19.0,69.37,90.92
4,9.05,18.0,75.43,88.91
5,9.13,18.0,80.48,87.14
6,8.59,16.0,78.7,87.98
7,8.3,16.0,78.62,91.37
8,7.84,16.0,84.39,92.93
9,7.72,16.0,80.4,91.7
10,7.69,16.0,76.61,91.59
11,7.44,16.0,73.86,89.55
12,7.42,16.0,72.12,90.96
13,7.48,15.0,77.38,90.49
14,6.69,15.0,85.47,97.18
15,6.0,13.0,89.43,96.33
16,5.15,12.0,81.32,95.39
17,4.3,8.5,76.03,90.47
18,3.25,7.5,70.27,83.14
19,2.51,7.5,71.62,79.31
20,2.31,7.5,79.44,81.03
21,3.51,7.5,73.37,73.13
22,10.99,7.5,76.86,73.51
23,11.77,7.5,78.16,69.92
24,11.94,7.5,76.52,65.84
25,11.98,7.5,84.39,61.13
26,12.63,7.5,87.03,61.69
27,13.68,7.5,83.8,60.06
28,14.3,8.0,91.48,60.81
29,15.1,8.0,99.38,61.41
30,15.9,9.5,114.34,60.15
31,17.1,11.0,109.26,65.42
32,17.83,17.0,101.64,80.67
33,16.69,20.0,108.26,111.01
34,9.15,20.0,91.63,77.47
35,8.73,8.5,82.98,76.41
36,8.39,8.5,71.69,73.8
37,8.4,7.5,78.65,72.7
38,8.13,7.5,81.22,71.36
39,7.4,6.75,71.54,72.89
40,6.68,6.5,67.71,73.56
41,6.5,6.5,72.43,73.95
42,6.5,5.5,71.35,72.61
43,6.0,5.0,65.16,73.99
44,5.5,5.0,61.7,76.06
45,5.8,4.5,62.36,74.48
46,5.7,4.25,59.06,74.43
47,5.2,4.25,52.1,74.35
48,4.9,4.25,47.07,74.17
49,4.4,4.25,41.35,76.86
50,4.0,4.25,39.55,77.49
51,3.7,4.25,39.63,75.86
52,3.6,4.25,42.39,73.8
53,3.4,4.25,40.77,71.39
54,3.2,4.5,38.31,69.22
55,3.0,5.5,28.53,72.9
56,3.1,5.5,16.7,75.22
57,2.5,6.0,30.45,74.24
58,2.3,6.0,50.54,63.99
59,2.4,6.25,57.53,61.83
60,3.0,6.25,59.8,62.9
61,3.5,6.5,57.07,63.83
62,3.8,6.5,54.01,64.34
63,4.0,7.0,56.97,64.97
64,4.3,7.25,54.84,65.69
65,4.6,7.25,57.55,63.18
66,4.7,7.5,54.71,64.17
67,5.1,7.75,60.87,64.88
68,5.2,7.75,63.87,64.57
69,5.3,7.75,58.17,65.12
70,5.2,7.75,54.98,65.78
71,5.0,7.75,51.55,66.88
72,4.3,7.75,48.78,67.41
73,3.8,7.5,56.69,66.43
74,3.5,7.5,70.76,65.8
75,3.4,7.5,70.08,67.69
76,3.1,7.25,67.85,66.23
77,2.5,7.25,70.58,62.83
78,2.3,7.25,67.32,62.77
79,2.4,7.25,69.98,62.32
80,2.4,7.25,66.33,60.58
81,2.4,7.25,62.77,57.07
82,2.2,7.5,62.18,56.81
83,2.2,7.75,63.66,56.7
84,2.5,7.75,57.95,58.57
85,2.5,8.25,56.66,58.87
86,2.7,8.25,51.59,57.68
87,3.0,8.5,49.88,57.69
88,3.3,9.0,48.06,59.46
89,3.9,9.0,46.68,59.57
90,4.4,9.0,45.2,57.95
91,4.1,9.25,48.54,57.07
92,4.1,9.75,51.12,56.44
93,4.3,9.75,49.67,57.9
94,4.6,10.0,53.46,58.45
95,5.0,10.0,52.61,59.9
96,5.4,10.0,52.17,62.02
97,5.8,10.0,45.88,64.38
98,6.1,10.0,49.87,62.58
99,6.4,10.0,45.23,64.45
100,6.9,10.5,44.8,64.91
101,7.2,10.5,44.8,64.28
102,7.5,10.5,48.85,65.1
103,7.3,11.0,46.8,65.76
104,7.3,11.0,41.12,66.6
105,7.3,11.0,37.96,70.29
106,8.1,11.0,30.62,77.28
107,9.8,11.0,31.78,73.37
108,12.9,11.0,37.33,69.67
109,15.0,11.0,42.92,64.8
110,15.6,11.0,46.29,63.16
111,15.7,11.0,45.47,66.66
